iter,cost
1230,25.830099
1231,25.830095
1232,25.830090
1233,25.830086
1234,25.830081
1235,25.830077
1236,25.830073
1237,25.830068
1238,25.830064
1239,25.830060
1240,25.830055
1241,25.830051
1242,25.830047
1243,25.830042
1244,25.830038
1245,25.830034
1246,25.830029
1247,25.830025
1248,25.830021
1249,25.830016
1250,25.830012
1251,25.830008
1252,25.830003
1253,25.829999
1254,25.829995
1255,25.829990
1256,25.829986
1257,25.829982
1258,25.829978
1259,25.829973
1260,25.829969
1261,25.829965
1262,25.829960
1263,25.829956
1264,25.829952
1265,25.829948
1266,25.829943
1267,25.829939
1268,25.829935
1269,25.829930
1270,25.829926
1271,25.829922
1272,25.829918
1273,25.829913
1274,25.829909
1275,25.829905
1276,25.829900
1277,25.829896
1278,25.829892
1279,25.829888
1280,25.829883
1281,25.829879
1282,25.829875
1283,25.829871
1284,25.829866
1285,25.829862
1286,25.829858
1287,25.829854
1288,25.829850
1289,25.829845
1290,25.829841
1291,25.829837
1292,25.829833
1293,25.829828
1294,25.829824
1295,25.829820
1296,25.829816
1297,25.829811
1298,25.829807
1299,25.829803
1300,25.829799
1301,25.829795
1302,25.829790
1303,25.829786
1304,25.829782
1305,25.829778
1306,25.829774
1307,25.829769
1308,25.829765
1309,25.829761
1310,25.829757
1311,25.829753
1312,25.829748
1313,25.829744
1314,25.829740
1315,25.829736
1316,25.829732
1317,25.829728
1318,25.829723
1319,25.829719
1320,25.829715
1321,25.829711
1322,25.829707
1323,25.829702
1324,25.829698
1325,25.829694
1326,25.829690
1327,25.829686
1328,25.829682
1329,25.829677
1330,25.829673
1331,25.829669
1332,25.829665
1333,25.829661
1334,25.829657
1335,25.829653
1336,25.829648
1337,25.829644
1338,25.829640
1339,25.829636
1340,25.829632
1341,25.829628
1342,25.829624
1343,25.829619
1344,25.829615
1345,25.829611
1346,25.829607
1347,25.829603
1348,25.829599
1349,25.829595
1350,25.829591
1351,25.829587
1352,25.829582
1353,25.829578
1354,25.829574
1355,25.829570
1356,25.829566
1357,25.829562
1358,25.829558
1359,25.829554
1360,25.829550
1361,25.829545
1362,25.829541
1363,25.829537
1364,25.829533
1365,25.829529
1366,25.829525
1367,25.829521
1368,25.829517
1369,25.829513
1370,25.829509
1371,25.829505
1372,25.829500
1373,25.829496
1374,25.829492
1375,25.829488
1376,25.829484
1377,25.829480
1378,25.829476
1379,25.829472
1380,25.829468
1381,25.829464
1382,25.829460
1383,25.829456
1384,25.829452
1385,25.829448
1386,25.829444
1387,25.829439
1388,25.829435
1389,25.829431
1390,25.829427
1391,25.829423
1392,25.829419
1393,25.829415
1394,25.829411
1395,25.829407
1396,25.829403
1397,25.829399
1398,25.829395
1399,25.829391
1400,25.829387
1401,25.829383
1402,25.829379
1403,25.829375
1404,25.829371
1405,25.829367
1406,25.829363
1407,25.829359
1408,25.829355
1409,25.829351
1410,25.829347
1411,25.829343
1412,25.829339
1413,25.829335
1414,25.829331
1415,25.829327
1416,25.829323
1417,25.829319
1418,25.829315
1419,25.829311
1420,25.829307
1421,25.829303
1422,25.829299
1423,25.829295
1424,25.829291
1425,25.829287
1426,25.829283
1427,25.829279
1428,25.829275
1429,25.829271
1430,25.829267
1431,25.829263
1432,25.829259
1433,25.829255
1434,25.829251
1435,25.829247
1436,25.829243
1437,25.829239
1438,25.829235
1439,25.829231
1440,25.829227
1441,25.829223
1442,25.829219
1443,25.829215
1444,25.829211
1445,25.829207
1446,25.829203
1447,25.829199
1448,25.829195
1449,25.829191
1450,25.829187
1451,25.829183
1452,25.829179
1453,25.829175
1454,25.829171
1455,25.829167
1456,25.829164
1457,25.829160
1458,25.829156
1459,25.829152
1460,25.829148
1461,25.829144
1462,25.829140
1463,25.829136
1464,25.829132
1465,25.829128
1466,25.829124
1467,25.829120
1468,25.829116
1469,25.829112
1470,25.829108
1471,25.829104
1472,25.829101
1473,25.829097
1474,25.829093
1475,25.829089
1476,25.829085
1477,25.829081
1478,25.829077
1479,25.829073
1480,25.829069
1481,25.829065
1482,25.829061
1483,25.829057
1484,25.829054
1485,25.829050
1486,25.829046
1487,25.829042
1488,25.829038
1489,25.829034
1490,25.829030
1491,25.829026
1492,25.829022
1493,25.829018
1494,25.829015
1495,25.829011
1496,25.829007
1497,25.829003
1498,25.828999
1499,25.828995
1500,25.828991
1501,25.828987
1502,25.828983
1503,25.828980
1504,25.828976
1505,25.828972
1506,25.828968
1507,25.828964
1508,25.828960
1509,25.828956
1510,25.828952
1511,25.828949
1512,25.828945
1513,25.828941
1514,25.828937
1515,25.828933
1516,25.828929
1517,25.828925
1518,25.828922
1519,25.828918
1520,25.828914
1521,25.828910
1522,25.828906
1523,25.828902
1524,25.828898
1525,25.828895
1526,25.828891
1527,25.828887
1528,25.828883
1529,25.828879
1530,25.828875
1531,25.828872
1532,25.828868
1533,25.828864
1534,25.828860
1535,25.828856
1536,25.828852
1537,25.828848
1538,25.828845
1539,25.828841
1540,25.828837
1541,25.828833
1542,25.828829
1543,25.828826
1544,25.828822
1545,25.828818
1546,25.828814
1547,25.828810
1548,25.828806
1549,25.828803
1550,25.828799
1551,25.828795
1552,25.828791
1553,25.828787
1554,25.828784
1555,25.828780
1556,25.828776
1557,25.828772
1558,25.828768
1559,25.828764
1560,25.828761
1561,25.828757
1562,25.828753
1563,25.828749
1564,25.828745
1565,25.828742
1566,25.828738
1567,25.828734
1568,25.828730
1569,25.828726
1570,25.828723
1571,25.828719
1572,25.828715
1573,25.828711
1574,25.828708
1575,25.828704
1576,25.828700
1577,25.828696
1578,25.828692
1579,25.828689
1580,25.828685
1581,25.828681
1582,25.828677
1583,25.828674
1584,25.828670
1585,25.828666
1586,25.828662
1587,25.828658
1588,25.828655
1589,25.828651
1590,25.828647
1591,25.828643
1592,25.828640
1593,25.828636
1594,25.828632
1595,25.828628
1596,25.828625
1597,25.828621
1598,25.828617
1599,25.828613
1600,25.828610
1601,25.828606
1602,25.828602
1603,25.828598
1604,25.828595
1605,25.828591
1606,25.828587
1607,25.828583
1608,25.828580
1609,25.828576
1610,25.828572
1611,25.828568
1612,25.828565
1613,25.828561
1614,25.828557
1615,25.828553
1616,25.828550
1617,25.828546
1618,25.828542
1619,25.828538
1620,25.828535
1621,25.828531
1622,25.828527
1623,25.828524
1624,25.828520
1625,25.828516
1626,25.828512
1627,25.828509
1628,25.828505
1629,25.828501
1630,25.828498
1631,25.828494
1632,25.828490
1633,25.828486
1634,25.828483
1635,25.828479
1636,25.828475
1637,25.828472
1638,25.828468
1639,25.828464
1640,25.828460
1641,25.828457
1642,25.828453
1643,25.828449
1644,25.828446
1645,25.828442
1646,25.828438
1647,25.828435
1648,25.828431
1649,25.828427
1650,25.828423
1651,25.828420
1652,25.828416
1653,25.828412
1654,25.828409
1655,25.828405
1656,25.828401
1657,25.828398
1658,25.828394
1659,25.828390
1660,25.828387
1661,25.828383
1662,25.828379
1663,25.828376
1664,25.828372
1665,25.828368
1666,25.828365
1667,25.828361
1668,25.828357
1669,25.828354
1670,25.828350
1671,25.828346
1672,25.828343
1673,25.828339
1674,25.828335
1675,25.828332
1676,25.828328
1677,25.828324
1678,25.828321
1679,25.828317
1680,25.828313
1681,25.828310
1682,25.828306
1683,25.828302
1684,25.828299
1685,25.828295
1686,25.828291
1687,25.828288
1688,25.828284
1689,25.828280
1690,25.828277
1691,25.828273
1692,25.828269
1693,25.828266
1694,25.828262
1695,25.828259
1696,25.828255
1697,25.828251
1698,25.828248
1699,25.828244
1700,25.828240
1701,25.828237
1702,25.828233
